design,per,X,Median,Mean,Min,Max,X95CIlo,X95CIup,rBias,rRMSE
SD1,SL2,BCL,0.9816435,0.981747114,0.802293,1.20329,0.975994753698539,0.987499474301461,-0.018252886,0.0680548739940792
SD1,SL2,BV,0.875552,0.943259322,0.136436,1.8438,0.917180667016401,0.969337976983599,-0.056740678,0.302593841632552
SD1,SL2,BQ,1.09296,1.2594037466,0.01,4.58705,1.15850189687833,1.36030559632167,0.259403746600001,1.17890263908321
SD1,SL2,BVp,1.121455,1.357541228,0.01,10.2702,1.2864947872981,1.4285876687019,0.357541228,0.885161746706225
SD1,SL2,BKa,1.235785,1.180168136,0.01,1.95787,1.14987144980924,1.21046482219076,0.180168136,0.38947791871918
SD1,SL2,RUV,2.169645,2.16779814,1.44094,2.76011,2.14920387189106,2.18639240810894,1.16779814,1.18687173311095
SD1,SL3,CL,1.018505,1.019284078,0.941736,1.11998,1.01651961046857,1.02204854553143,0.019284078,0.0369404519194609
SD1,SL3,V,1.62391,1.638019594,0.295838,2.76478,1.58229879867553,1.69374038932447,0.638019594,0.900210525253931
SD1,SL3,Q,1.521275,2464158.9313938,0.01,894852000,-1229406.77795469,6157724.64074228,2464157.9313938,42168754.9088963
SD1,SL3,Vp,0.689575,0.653352683,0.01,1.53552,0.617501309673314,0.689204056326686,-0.346647317,0.535841129238674
SD1,SL3,Ka,1.66562,1.619798266,0.489698,2.53051,1.58264418668718,1.65695234531282,0.619798266,0.750643191209929
SD1,SL3,BCL,0.9756035,0.97626795,0.800569,1.19625,0.970496190218568,0.982039709781432,-0.02373205,0.0699324574119486
SD1,SL3,BV,0.787916,0.9125255868,0.01,2.56934,0.877034733993221,0.948016439606779,-0.0874744132,0.413850324984584
SD1,SL3,BQ,1.64302,5.1018909198,0.01,521.445,2.48764534150981,7.71613649809019,4.1018909198,30.0763808891654
SD1,SL3,BVp,1.08129,1.7250480904,0.01,10.9328,1.58809780655126,1.86199837424874,0.7250480904,1.72104380259817
SD1,SL3,BKa,1.51691,1.437997844,0.01,2.32724,1.3968772917971,1.4791183962029,0.437997844,0.641472973570114
SD1,SL3,RUV,2.631535,2.64040434,1.76319,3.36068,2.61998467239584,2.66082400760416,1.64040434,1.65683109356186
SD1,TD1,CL,0.998973,0.998086114,0.722399,1.27166,0.99445139393644,1.00172083406356,-0.001913886,0.0414702015309065
SD1,TD1,V,1.04893,1.054278904,0.742394,1.39039,1.04608513822008,1.06247266977992,0.054278904,0.108015291493677
SD1,TD1,Q,0.994159,1.008065122,0.705381,1.71395,0.998144934975339,1.01798530902466,0.008065122,0.113350688754899
SD1,TD1,Vp,0.982229,0.981160972,0.776652,1.14403,0.976090529029754,0.986231414970246,-0.018839028,0.0607825811471346
SD1,TD1,Ka,1.014675,1.020731922,0.640621,1.39909,1.01195786291279,1.02950598108721,0.020731922,0.102127070912026
SD1,TD1,BCL,0.993768,0.994493152,0.815183,1.36351,0.988340277523383,1.00064602647662,-0.005506848,0.0703420765959891
SD1,TD1,BV,1.039035,1.03855304,0.224376,1.4821,1.02508863271298,1.05201744728702,0.03855304,0.158226680852516
SD1,TD1,BQ,1.093755,1.187359064,0.258568,5.95081,1.13710747352744,1.23761065447256,0.187359064,0.60259952328945
